restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people)
Fat Chef Biryani Wale,"Takeaway, Delivery","Biryani, North Indian",3.3,400.0
Fatima Bakery,"Bakery, Quick Bites","Bakery, Fast Food",3.7,300.0
Fatso's,Cafe,"Cafe, American, Italian, Burger",3.8,650.0
Fattoush,Casual Dining,"Arabian, Mughlai, Biryani, North Indian, Chinese, Seafood",4.1,900.0
Fatty Chang,Quick Bites,Chinese,3.2,300.0
Fava,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",4.4,1200.0
Fava Bistro,"Casual Dining, Bar","Mediterranean, Pizza, Italian, Beverages",4.4,1500.0
Fazzito Kitchen,Casual Dining,North Indian,3.8,700.0
Feast - Sheraton Grand Bangalore Hotel at Brigade...,Fine Dining,"North Indian, Continental",4.3,2000.0
Feast - Sheraton Grand Bengaluru Whitefield Hotel &...,Fine Dining,"Continental, Asian, South Indian, North Indian",4.5,2500.0
Feast and Burp,Quick Bites,North Indian,3.3,300.0
Feast India Co.,Casual Dining,"Awadhi, Bengali, North Indian",4.2,1500.0
Feastaurant,Casual Dining,"Bengali, Chinese",3.7,800.0
Feaster,Casual Dining,"Continental, Asian, Chinese, Italian, North Indian",3.8,600.0
Feel The Taste,Quick Bites,Fast Food,2.8,300.0
Feel@Home,"Takeaway, Delivery","North Indian, Chinese",3.6,300.0
Fenny's Lounge And Kitchen,"Bar, Casual Dining","Mediterranean, Pizza, Continental, Seafood, Salad",4.5,1600.0
Ferment,"Casual Dining, Bar",Continental,2.8,1000.0
Fetchpod Cafe,Cafe,"Cafe, North Indian, Chinese, Continental",2.9,500.0
Fete Home Kitchen,"Takeaway, Delivery",North Indian,2.8,500.0
Fiddler's Green,"Casual Dining, Bar","Continental, American, Indonesian, Asian, Thai",3.9,1200.0
Fiero! Pizzeria,Quick Bites,"Italian, Fast Food, Pizza",4.0,400.0
FIFA Cafe,Cafe,"Cafe, Beverages, Fast Food",3.2,300.0
Fill A Belly Restaurant,Quick Bites,"North Indian, Chinese, Fast Food",3.6,300.0
Fill N Chill Resto Bar & Pub,Bar,"Finger Food, North Indian, Chinese",3.9,1200.0
Fillers,Quick Bites,"North Indian, Fast Food",3.9,300.0
Filmy Kitchen,Quick Bites,"North Indian, South Indian, Italian, Chinese, Fast Food",3.7,400.0
Fine Day,Quick Bites,"Biryani, Andhra, North Indian",3.1,500.0
Fine Dine Restaurant,Casual Dining,"North Indian, Kerala, Chinese",3.7,750.0
Fine Food Restaurant,Quick Bites,"North Indian, Chinese, Fast Food",3.4,500.0
Firangi Bake,Delivery,"Mexican, Italian",3.8,600.0
Fire And Ice,"Dessert Parlor, Quick Bites","Desserts, Fast Food",3.7,300.0
Fire Station,"Pub, Casual Dining","Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese",4.4,1200.0
FireHouse - Bar & Kitchen,Pub,"Continental, American, Chinese, BBQ, Salad, Italian",3.9,1500.0
Firewood Biryani,Quick Bites,"Biryani, Kebab, Rolls",3.9,400.0
Firki Cafe,Casual Dining,North Indian,2.8,850.0
Fish & Fries Restaurant,Casual Dining,"Continental, Seafood, Bengali, Fast Food",4.0,750.0
Fish And Dish,Quick Bites,"Mangalorean, Chinese",3.6,350.0
Fish Chain,Quick Bites,"Seafood, BBQ, Burger, Biryani",3.4,300.0
Fish Corner,Quick Bites,"North Indian, Chinese, Seafood",3.7,400.0
Fish Factory-Citrus Hotel,Fine Dining,Seafood,3.9,2600.0
Fish Palace,Quick Bites,"Mangalorean, Chinese, Seafood, North Indian",3.0,450.0
Fishing Boat,Quick Bites,"Kerala, South Indian, Chinese",4.0,300.0
Fishing Boat - Hotel Goyal Residency,Casual Dining,"Seafood, North Indian, Chinese, Biryani",3.9,800.0
Fishland,Casual Dining,"Seafood, North Indian, Chinese",4.2,500.0
Fishland 15,Casual Dining,"Mangalorean, Seafood",3.9,600.0
Fishland Deluxe,Quick Bites,"South Indian, North Indian, Chinese, Kebab",3.5,500.0
Fit Dish Fetish,"Takeaway, Delivery",Healthy Food,3.5,500.0
Fitbakes,Delivery,"Bakery, Healthy Food",3.6,400.0
Fitnest,Delivery,"Healthy Food, North Indian",3.2,350.0
Five Satr Chiken,Quick Bites,Fast Food,2.8,300.0
Five Senses,"Takeaway, Delivery","Continental, North Indian, Fast Food",2.8,500.0
Five Spice Dining,Casual Dining,"Chinese, North Indian, South Indian",3.6,750.0
Five Star Cafe,Quick Bites,Fast Food,3.8,350.0
Five Star Chicken,Quick Bites,"Fast Food, Burger",2.7,300.0
Flame Pub & Restaurant - Brigade Garden,"Bar, Casual Dining","Bar Food, North Indian",2.9,1900.0
Flamin Grill,Casual Dining,"Lebanese, Turkish, BBQ, Burger",3.5,600.0
Flavor of Tibet,Casual Dining,Tibetan,4.0,400.0
Flavored With Love,"Takeaway, Delivery",Bakery,2.8,200.0
Flavors,Casual Dining,"North Indian, South Indian, Chinese, Continental",3.4,1200.0
Flavors of India,Casual Dining,"North Indian, South Indian, Andhra, Mughlai",3.5,600.0
Flavors of North,Quick Bites,"North Indian, Chinese, Biryani",3.3,400.0
Flavors Restaurant,Casual Dining,"North Indian, Chinese",2.9,700.0
Flavorsome Bakes,"Takeaway, Delivery","Bakery, Desserts",4.0,800.0
Flavour A Azam,Quick Bites,North Indian,3.5,400.0
Flavour of China,Casual Dining,Chinese,3.8,550.0
Flavour of Himalaya,Quick Bites,Asian,3.7,500.0
Flavours - Octave Hotel & Spa,Casual Dining,"North Indian, Chinese",3.0,700.0
Flavours Hut,Casual Dining,"Kerala, North Indian, Chinese, Seafood",3.5,550.0
Flavours Inn,Quick Bites,"Kerala, North Indian, Chinese",3.7,500.0
Flavours Radha Hometel,Casual Dining,"North Indian, Continental, Chinese, South Indian",3.5,800.0
Flavours24,Dessert Parlor,"Desserts, Ice Cream",3.3,250.0
Flayvours4u,"Dessert Parlor, Beverage Shop","Ice Cream, Beverages",3.2,150.0
Flechazo,Casual Dining,"Asian, Mediterranean, North Indian, BBQ",4.7,1400.0
Float,"Casual Dining, Bar","North Indian, Japanese",4.4,1500.0
Float Brewery,"Microbrewery, Casual Dining","Bar Food, Asian, European, Mediterranean",4.2,1800.0
Flodeis,Dessert Parlor,"Desserts, Ice Cream, Beverages",3.4,300.0
Floured-Baked With Love,"Takeaway, Delivery",Bakery,3.8,400.0
Flow - Terrace Bar & Grill,"Lounge, Bar","Pizza, Continental, North Indian, Chinese",3.8,1000.0
Fluffer Nutter,Quick Bites,Beverages,2.8,200.0
Flying Cakes,Bakery,"Bakery, Desserts",3.1,500.0
FNC Seafood,Food Court,"Seafood, Fast Food",3.8,400.0
FNP Cakes N More,Delivery,Bakery,2.8,700.0
Fnp Cakes 'N' More,Bakery,Bakery,2.8,150.0
Fog City Cafe,Cafe,Fast Food,2.8,500.0
Fogg,Casual Dining,"Continental, Italian, Beverages",2.8,1000.0
Folklore Restaurant,Casual Dining,"North Indian, South Indian, Kerala, Seafood",3.2,450.0
Food & Friends,Quick Bites,"Fast Food, Street Food",2.9,200.0
Food 4 U,Quick Bites,North Indian,3.6,400.0
FOOD ADDA,Quick Bites,Fast Food,3.2,200.0
Food And Biryani (FAB),"Takeaway, Delivery","Biryani, North Indian, Mughlai",2.8,500.0
Food And You,Quick Bites,"North Indian, Gujarati",3.8,300.0
Food Box,Quick Bites,"Fast Food, Beverages",3.6,350.0
Food Box Cafe,Casual Dining,"Mughlai, North Indian, Chinese",3.6,500.0
Food Box -The Taste Of Odisha,Quick Bites,"Chinese, Oriya, Bengali, North Indian",3.2,350.0
Food Club Restaurant,Casual Dining,"North Indian, Chinese",3.7,500.0
Food Coma,Casual Dining,"Continental, Seafood, Biryani, Desserts, North Indian, Chinese, Bakery, Kebab",2.8,800.0
Food Corner,Quick Bites,"North Indian, Chinese, Fast Food",3.3,250.0
Food Court,Quick Bites,"South Indian, North Indian, Chinese, Street Food",3.3,300.0
Food Dig,Quick Bites,North Indian,3.5,150.0
Food Factory,"Takeaway, Delivery",North Indian,3.3,400.0
Food Feast Multicusine Restaurant,Quick Bites,"North Indian, Chinese, Hyderabadi",3.3,600.0
Food Feed Restaurant,Casual Dining,"Arabian, Chinese, Kerala, North Indian",3.7,750.0
Food Geek,Quick Bites,"Sandwich, Fast Food, Rolls",3.8,350.0
Food Junction,Quick Bites,"North Indian, Chinese, Street Food, Biryani",3.5,400.0
Food Ka Masti,Delivery,"North Indian, Chinese, South Indian",3.2,400.0
Food Lounge,Quick Bites,North Indian,3.1,400.0
Food Lover,Delivery,"North Indian, Chinese",3.7,400.0
Food Magic Restaurant,Quick Bites,"Kerala, North Indian, Chinese, Arabian",3.8,400.0
Food Memories,Quick Bites,Fast Food,3.3,200.0
Food Mingo,Quick Bites,"North Indian, Chinese",3.0,450.0
Food Mood,Delivery,North Indian,3.7,350.0
Food N Joyy,Quick Bites,"Fast Food, Chinese, Street Food",3.2,300.0
Food Of Punjab,Quick Bites,North Indian,3.7,200.0
Food Paradise,Quick Bites,"North Indian, Chinese, Bengali, Biryani",3.3,500.0
Food Planet,Quick Bites,"North Indian, Chinese, Kerala",3.1,400.0
Food Plaza,Quick Bites,"South Indian, North Indian, Chinese",2.8,150.0
Food Point,Casual Dining,North Indian,3.2,450.0
Food Point Family Restauarant,Casual Dining,"North Indian, Chinese, Mughlai",3.3,700.0
Food Ras,Casual Dining,"North Indian, Chinese, Japanese, European, Seafood",4.3,900.0
Food Republic Resto,Casual Dining,"North Indian, Chinese",3.3,700.0
Food Singh,Delivery,North Indian,2.8,500.0
Food Springs,Quick Bites,"South Indian, Chinese",4.0,400.0
Food Square,Quick Bites,"Chinese, Street Food, Rolls",3.2,250.0
Food Star,Casual Dining,"North Indian, Chinese",3.2,500.0
Food Theory,Delivery,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",2.5,500.0
Food Time Now,"Takeaway, Delivery","North Indian, Mughlai, Biryani",3.1,500.0
Food Town,Delivery,Chinese,3.2,200.0
Food Treat,Quick Bites,"North Indian, South Indian",3.3,300.0
Food Xpress,Quick Bites,"North Indian, South Indian, Biryani, Chinese",3.4,400.0
Food Zone,Quick Bites,"North Indian, Chinese",3.4,300.0
FoodandSnack.com,Delivery,"South Indian, North Indian",3.3,500.0
Foodbell,"Takeaway, Delivery","North Indian, Chinese, Biryani",2.8,300.0
Foodhall,Casual Dining,"Italian, Bakery, Fast Food",4.0,1000.0
Foodiction,Quick Bites,"North Indian, Fast Food, Chinese, Burger",2.8,500.0
Foodie,Kiosk,"Chinese, Fast Food",2.9,300.0
Foodie Nation,Casual Dining,"North Indian, Chinese, Arabian",3.5,1000.0
Foodie's Affair,Quick Bites,"North Indian, Chinese",3.5,400.0
Foodies Choice,"Takeaway, Delivery","Arabian, Chinese, Fast Food, Beverages",3.7,150.0
Foodies Club,Quick Bites,"South Indian, Chinese, North Indian, Sandwich, Rolls",3.4,300.0
Foodies Delight,Quick Bites,"North Indian, Fast Food, Beverages",3.8,400.0
Foodies Express,Quick Bites,"Chinese, North Indian, Arabian, Biryani",3.7,400.0
Foodies Family Restaurant,Quick Bites,"North Indian, Chinese",3.4,300.0
Foodies Hub,Quick Bites,"North Indian, South Indian, Seafood",3.1,500.0
Foodiesthan,Cafe,"Cafe, Fast Food, North Indian",3.7,600.0
FoodIshq,Delivery,North Indian,4.0,450.0
Foodism,Delivery,"North Indian, Chinese",4.1,300.0
Foodizo,Quick Bites,"Desserts, Fast Food, Continental",3.6,300.0
Foodlieious Multi Cuisine,Quick Bites,North Indian,2.8,100.0
Foodmazic,Quick Bites,"BBQ, Beverages, Burger, Rolls, Tea",3.7,200.0
Foody Baba,Delivery,"North Indian, Chinese, Mughlai",3.1,500.0
Foody's,Quick Bites,"North Indian, South Indian",3.8,250.0
Foodys Adda,Quick Bites,Fast Food,3.2,300.0
Foody's Land,Quick Bites,Fast Food,2.8,300.0
Forage,Casual Dining,"Healthy Food, Beverages, European, Salad",4.1,1500.0
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Delivery,Continental,3.1,500.0
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Delivery,Continental,3.1,500.0
Fort Kochi,"Casual Dining, Bar","Kerala, Seafood",4.1,1800.0
Four Seasons Fast Food,Quick Bites,"North Indian, Chinese, Biryani",3.3,400.0
Four Seasons Fast Food Center,Quick Bites,"North Indian, Chinese, Biryani",3.7,400.0
Foxtail Rodeo,Food Truck,"Chinese, Street Food",3.5,300.0
Foxtrot,"Pub, Casual Dining","North Indian, Chinese, Continental, Momos",4.4,1200.0
Foxtrot - House of Subculture,"Cafe, Lounge","Cafe, American, Asian, North Indian",4.4,1000.0
Fragrant Kitchen,"Casual Dining, Cafe","North Indian, Chinese, Cafe, Desserts",3.7,700.0
Freeze It,Dessert Parlor,Ice Cream,3.5,300.0
French Bake House,Bakery,"Bakery, French, Fast Food",3.7,200.0
French Bakery,Delivery,"Desserts, Bakery, Beverages",3.3,250.0
Fresh Aahar,Quick Bites,"Biryani, Mangalorean, Kerala",3.9,400.0
Fresh Berriz,Beverage Shop,"Beverages, Juices",3.3,250.0
Fresh Bites,Quick Bites,"Italian, Fast Food",3.3,400.0
Fresh Bowl,Quick Bites,"Chinese, North Indian, Fast Food",3.3,400.0
Fresh Dinner,"Takeaway, Delivery","North Indian, Biryani",3.1,500.0
Fresh Kitchen,Casual Dining,"North Indian, Chinese",3.3,600.0
Fresh Lemon Soda,Beverage Shop,"Beverages, Street Food",3.1,150.0
Fresh 'N' Grills,"Takeaway, Delivery","Sandwich, Salad, North Indian, Chinese",3.2,500.0
Fresh Pressery Cafe,Cafe,"Cafe, Healthy Food, Salad, Beverages, Desserts",4.1,1200.0
Fresh Veg,Quick Bites,"Street Food, North Indian",2.7,300.0
FreshEats,Food Truck,"Continental, North Indian, Thai",3.6,400.0
Freshies Gourmet Salads,Quick Bites,"Salad, Healthy Food",3.1,350.0
Freshkhilao,Casual Dining,"Chinese, North Indian, Biryani, Juices",3.3,750.0
Freshkicho,Delivery,"North Indian, South Indian, Chinese",2.8,200.0
FreshMenu,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",2.8,450.0
FreshPhulka,Quick Bites,North Indian,3.8,150.0
Freskka,Casual Dining,"Italian, American, Asian, Continental, Mexican, Momos",4.0,700.0
Friend's Cafe,Quick Bites,"Fast Food, American, Chinese",3.9,600.0
Friends Chats Adda,Quick Bites,"Fast Food, Sandwich, Beverages",2.8,200.0
Friends Diner,Casual Dining,"Continental, Italian, Pizza",2.8,700.0
Friend's Kitchen,Quick Bites,"South Indian, Chinese",3.5,150.0
Friends Night Kitchen,"Takeaway, Delivery","Italian, Pizza",3.8,400.0
Friend's Own,Quick Bites,"North Indian, Bengali, Chinese",3.2,300.0
Friendz Zone,Quick Bites,"North Indian, Street Food",3.6,400.0
Fritz Haber,Delivery,"Ice Cream, Desserts",3.3,400.0
Frolic,Dessert Parlor,"Juices, Ice Cream",3.9,200.0
Frootality,"Beverage Shop, Quick Bites","Healthy Food, Beverages",4.0,400.0
FrostBite,"Dessert Parlor, Quick Bites","Desserts, Fast Food",3.5,400.0
Frosted Memories,Bakery,Bakery,4.0,200.0
Frosting Flavours,Dessert Parlor,Desserts,3.8,150.0
Froststicks,Food Court,"Desserts, Ice Cream",3.8,150.0
Frosty Bite,Beverage Shop,"Beverages, Juices",3.3,150.0
Frosty Creams,Food Truck,"Ice Cream, Desserts",3.7,300.0
Frosty Fills,Quick Bites,"Desserts, Ice Cream",2.8,250.0
Frozen Bottle,Beverage Shop,"Beverages, Desserts",2.8,400.0
Frozen Coast,Dessert Parlor,"Desserts, Ice Cream",3.9,250.0
Frozenheit?,Dessert Parlor,Ice Cream,4.0,500.0
Fruit Ball,Beverage Shop,"Juices, Sandwich",2.8,150.0
Fruit Face,"Quick Bites, Beverage Shop","Fast Food, Street Food, Beverages",3.6,300.0
FRYBIES,Quick Bites,Fast Food,3.3,350.0
FTB Restaurant,"Takeaway, Delivery","North Indian, Bengali, Chinese, Seafood",2.8,500.0
Fudge,Dessert Parlor,"Desserts, Momos",3.2,200.0
Fudgy Love Designer Cakes,"Bakery, Dessert Parlor","Bakery, Desserts",3.7,600.0
Fuel Resto Bar,Bar,"Finger Food, Mediterranean, North Indian",4.2,2000.0
Fujan,Casual Dining,"Chinese, Thai, Seafood",3.6,600.0
Fujian Express,Food Court,"Thai, Chinese, Momos",3.3,600.0
Fullyfilled,Quick Bites,"Fast Food, Chinese, Lebanese",4.0,200.0
Fun Kitchen,Quick Bites,"North Indian, Chinese, Fast Food",3.6,400.0
Funjabi,Casual Dining,North Indian,3.5,600.0
Funjabi Curries,Quick Bites,North Indian,2.9,500.0
Funky Punjab,Casual Dining,"North Indian, Chinese",3.9,500.0
Fusion Lounge,Lounge,Finger Food,2.0,1500.0
Fusion Panda,"Casual Dining, Quick Bites","North Indian, Kebab",3.5,300.0
Fusion Tadka,Delivery,"North Indian, Chinese",3.7,450.0
Fusion Theory,Casual Dining,"Chinese, Continental, North Indian, South Indian, Beverages",2.8,700.0
G Resto Cafe,Cafe,"Cafe, Fast Food, Beverages",3.3,400.0
G. P. S. Kaapi Thindi,Quick Bites,Street Food,3.5,150.0
G8 Punjabi Tadka,Quick Bites,North Indian,3.7,200.0
Galaxy 2 Restaurant,Quick Bites,"North Indian, Chinese, Kerala, Arabian",3.2,400.0
Gali Parathae Wali,Quick Bites,"North Indian, Chinese, Street Food, Sandwich",3.7,400.0
Galito's,Casual Dining,"African, Burger",4.5,1000.0
Galli Belly,Quick Bites,"Sandwich, Rolls",3.4,200.0
Gallop Bar - Davanam Sarovar Portico Suites,Lounge,Finger Food,3.5,1600.0
Gallops,Lounge,"Chinese, Continental, North Indian",3.6,1400.0
Gama Gama,Quick Bites,South Indian,3.9,200.0
Game Of Pizzas,Delivery,Italian,3.6,500.0
Game Of Tandoors,Quick Bites,"North Indian, Rolls",3.7,400.0
Gam's Delicacy,Casual Dining,"North Indian, Chinese, Assamese",3.2,800.0
Ganache - The Ritz-Carlton,Dessert Parlor,Bakery,3.9,600.0
Gandharva Family Restaurant,Casual Dining,"North Indian, Chinese",3.6,900.0
Ganesh Bhavan,Quick Bites,South Indian,4.0,200.0
Ganesh Chats,Quick Bites,"Street Food, Fast Food",3.7,100.0
Ganesh Darshini,Quick Bites,"South Indian, Fast Food",3.7,150.0
Ganesh Food Joint,Quick Bites,"South Indian, Chinese",2.8,200.0
Ganesh Grand,Quick Bites,"South Indian, North Indian, Desserts",3.7,300.0
Ganesh Restaurant,Quick Bites,"Chinese, Street Food",3.7,300.0
Ganga Foods,Quick Bites,"South Indian, Chinese",3.5,200.0
Ganga Sagar,Quick Bites,Street Food,3.1,150.0
Gangothri Kabab Corner,Quick Bites,North Indian,3.1,400.0
Gangothri Veg Restaurant,Quick Bites,"North Indian, South Indian, Chinese",3.7,300.0
Gangotree,Quick Bites,Street Food,3.8,150.0
Gappe,Kiosk,Street Food,3.8,200.0
Garage Food Company,Quick Bites,"Chinese, Momos",2.8,400.0
Garage Pizza,Quick Bites,Pizza,3.2,400.0
Garden City Mobile Biryani,Food Truck,Biryani,2.8,200.0
Garden Fresh,Beverage Shop,"Healthy Food, Juices",3.9,200.0
Garden Hotel,Quick Bites,"North Indian, Chinese, South Indian",2.8,400.0
Garden Kabab Corner,Quick Bites,"North Indian, Chinese",3.4,200.0
Garma Garam,Quick Bites,"North Indian, Chinese, Biryani, Rolls",3.2,350.0
Gaura's Secret Recipe,Delivery,"North Indian, Gujarati, Rajasthani",3.8,250.0
Gavran Misal,Quick Bites,Street Food,2.8,250.0
Geetha Cafe,Quick Bites,South Indian,3.0,200.0
Gelato Italiano,Dessert Parlor,"Ice Cream, Bakery, Desserts",2.9,200.0
Gelato Pazzo,Dessert Parlor,Desserts,3.8,200.0
GET ur FIX @ Chote Miya,Quick Bites,Fast Food,3.3,300.0
Ghar Ka Bhojan,Delivery,"North Indian, Healthy Food",3.3,200.0
Ghar Ka Chulha,Casual Dining,"North Indian, Chinese",3.1,550.0
Ghar Ka Khana,Quick Bites,North Indian,3.7,150.0
Ghar Ki Rasoi,Casual Dining,North Indian,3.7,500.0
Gharelu Zaika,Delivery,North Indian,3.7,250.0
Ghee Biryani House,Quick Bites,"North Indian, Biryani, Chinese, Arabian",3.1,400.0
Ghee Biryanis,"Takeaway, Delivery","Biryani, North Indian",3.4,500.0
Ghee Positive,Quick Bites,"North Indian, Chinese",3.8,300.0
Ghee Rice Family Restaurant,Casual Dining,"North Indian, Chinese, Biryani",3.3,600.0
Gilly's Restobar,"Pub, Casual Dining","Continental, North Indian, Chinese, Salad",4.3,1200.0
Ging - Royal Orchid Central,"Bar, Casual Dining",Asian,4.2,2000.0
Ginger,Quick Bites,"North Indian, Chinese",3.6,350.0
Ginger & Garlic,Quick Bites,"South Indian, North Indian, Chinese",3.6,350.0
Ginger Greens,Casual Dining,"Andhra, Chinese, North Indian",3.9,750.0
Ginger Mint,Casual Dining,"North Indian, South Indian, Chinese",3.0,600.0
Ginseng - Royal Orchid Hotel,Fine Dining,"Chinese, Thai, Asian",3.9,1900.0
Giselle Resto Cafe,Cafe,"Cafe, Italian, Pizza, Beverages, Desserts",4.1,800.0
Give Me 5 Cafe,Cafe,"Cafe, Healthy Food",3.3,500.0
GKT Biryani World,Quick Bites,"Biryani, Italian, BBQ",3.7,350.0
Glacier - Citrine Hotel,Bar,"Finger Food, North Indian, Chinese",3.6,1000.0
Glassy,Club,"North Indian, Chinese",4.2,1400.0
Glen's Bakehouse,"Bakery, Cafe","Bakery, Cafe, Italian, Desserts",4.2,600.0
Global Flavors,Casual Dining,"North Indian, Fast Food, Beverages",3.5,1000.0
GMT - Gelateria Montecatini Terme,Dessert Parlor,"Desserts, Ice Cream",4.4,300.0
Go Gharelu,"Takeaway, Delivery","North Indian, Biryani",3.1,250.0
Go Italia,Casual Dining,"Italian, Pizza, Fast Food, Salad",4.0,750.0
Go Native,"Casual Dining, Cafe","Healthy Food, Cafe, Beverages",2.8,800.0
Goa 0 Km,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",3.6,800.0
Gobble Up Churros Cafe,Casual Dining,"Beverages, Cafe, Desserts, Spanish, Bakery",3.8,400.0
Gobi Corner,Quick Bites,Chinese,3.6,200.0
Gobi Gate,Quick Bites,Chinese,3.2,200.0
Godavari Delights,Casual Dining,South Indian,3.0,400.0
Godhavari,Casual Dining,"Seafood, Andhra",3.3,1000.0
Gods Own Cafe,Quick Bites,"South Indian, Kerala, Seafood",4.4,300.0
Gogula's Sweets & Chats,"Sweet Shop, Quick Bites","Mithai, Street Food, Fast Food",4.0,200.0
Gokul Kuteera,Casual Dining,"North Indian, Chinese, South Indian",3.9,650.0
Gokul Veg,Casual Dining,"North Indian, Chinese, Beverages",3.8,750.0
Gold Bean,Cafe,Cafe,2.5,550.0
Gold Line Breadz,"Bakery, Quick Bites","Bakery, Fast Food, Desserts",3.7,350.0
Golden China,Quick Bites,Chinese,3.6,300.0
Golden Food Palace,Quick Bites,"North Indian, Chinese",2.9,450.0
Golden Grill Restaurant,Casual Dining,"Arabian, Chinese, North Indian, Kerala, Seafood",3.5,550.0
Golden Oak - La Marvella Sarovar Premiere Hotel,Casual Dining,"North Indian, Continental, Chinese, South Indian",3.9,1000.0
Golden Paradise,Quick Bites,"North Indian, Chinese",3.5,300.0
Golden Restaurant,Casual Dining,"North Indian, Mughlai",3.4,750.0
Golden Rice,Casual Dining,"North Indian, Mughlai, Seafood, Chinese",4.2,1000.0
Goli Vada Pav No 1,Quick Bites,Street Food,3.4,200.0
Goli Vada Pav No. 1,Quick Bites,Street Food,2.9,150.0
Goli Vada Pav NO.1,Quick Bites,Street Food,3.4,200.0
Golkonda Chimney,Casual Dining,"Biryani, North Indian, Mughlai",3.5,850.0
Gongura,"Food Court, Casual Dining","Andhra, North Indian, South Indian",2.6,500.0
Gongura Biriyani House,Quick Bites,"Andhra, Biryani",2.8,250.0
Good Bread,Bakery,"Bakery, Desserts",3.6,300.0
