restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,city
Retox,Restaurant,"Asian, North Indian, European, Continental, Finger Food",4.4,2000.0,Erandwane,Pune
Baraza Bars & Bites,Restaurant,"Modern Indian, North Indian, Asian, Continental, Mughlai, Bar Food",4.5,1500.0,Yerawada,Pune
BarBerry,Restaurant,"North Indian, Italian, Finger Food",4.8,1200.0,Kothrud,Pune
Nawab Asia,Restaurant,"North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages",4.0,1300.0,Baner,Pune
Blue Water,Restaurant,"North Indian, Chinese, Continental",4.6,1800.0,Ravet,Pune
True Tramm Trunk,Restaurant,"North Indian, Fast Food, Asian",4.4,1600.0,Aundh,Pune
Tathya,Restaurant,"North Indian, Mughlai, Biryani",4.6,1300.0,Bund Garden Road,Pune
Santè Spa Cuisine,Restaurant,"Salad, Continental, Healthy Food, Mediterranean, Pizza",4.8,1300.0,Koregaon Park,Pune
UNWIND,Restaurant,"North Indian, European, Asian, Kebab, Afghan, Continental",4.1,2200.0,Mundhwa,Pune
The Irani Cafe,Restaurant,"Iranian, Fast Food",4.3,300.0,Viman Nagar,Pune
Arabian Bites,Restaurant,Arabian,4.3,250.0,Kondhwa,Pune
Makaza,Restaurant,"North Indian, Chinese",4.2,1200.0,Viman Nagar,Pune
Chili's American Grill & Bar,Restaurant,"Mexican, American, Tex-Mex, Salad, Burger",4.9,1400.0,Viman Nagar,Pune
Madari - The Crazy Bar,Restaurant,"Finger Food, Modern Indian, Italian, Bar Food",4.0,1400.0,Baner,Pune
Sigree,Restaurant,North Indian,4.1,1600.0,Aundh,Pune
The Cult - House,Restaurant,"Modern Indian, Continental, Sushi, Finger Food, Asian, Bar Food",3.6,2000.0,Magarpatta,Pune
Mezza 9,Restaurant,"Continental, North Indian, Mughlai, Asian",3.9,1700.0,Hinjawadi,Pune
Tales & Spirits,Restaurant,"Italian, Continental, Salad, Bar Food",4.3,1500.0,Senapati Bapat Road,Pune
House of Paratha,Restaurant,"North Indian, Chinese",4.1,500.0,JM Road,Pune
Mughal Mahal,Restaurant,"North Indian, Mughlai, Biryani, Chinese",4.4,1500.0,Hinjawadi,Pune
Hackers Kitchen & Bar,Restaurant,"North Indian, Continental, Chinese, Seafood",4.2,2200.0,Kharadi,Pune
The Millers Homebar & Kitchen,Restaurant,"Continental, North Indian, Thai",4.4,1300.0,Bund Garden Road,Pune
Level 5 Bistro and Bar,Restaurant,"European, Italian, American",4.8,1200.0,Erandwane,Pune
Tipsy Turtle,Restaurant,"North Indian, Seafood, Italian",3.8,800.0,Bavdhan,Pune
RushHrs,Restaurant,"Fast Food, Burger, Rolls",4.0,500.0,Magarpatta,Pune
Samudra,Restaurant,"South Indian, Fast Food, North Indian, Chinese, Beverages",4.2,850.0,Erandwane,Pune
Son Of A Gun,Restaurant,"Italian, Mexican, North Indian, Bar Food",4.1,1300.0,Baner,Pune
Kerala Cafe,Restaurant,"Kerala, South Indian, Seafood",4.4,700.0,Kalyani Nagar,Pune
Nisarg,Restaurant,"Malwani, North Indian, Seafood",4.2,1300.0,Erandwane,Pune
Sky High - The Club,Restaurant,"North Indian, Chinese, Continental, Thai",3.7,1600.0,Kharadi,Pune
Grandmama's Cafe,Restaurant,"Continental, Desserts, Fast Food",4.2,1200.0,Koregaon Park,Pune
Laa Unico,Restaurant,"Italian, Mexican, Continental, Modern Indian, Beverages",4.6,1500.0,Swargate,Pune
Burger King,Restaurant,"Burger, Fast Food, Beverages",3.9,500.0,FC Road,Pune
Green Park,Restaurant,"North Indian, Chinese, Continental, Thai, Mexican, Seafood, Kebab, Mangalorean",3.9,1500.0,Baner,Pune
Talli,Restaurant,"North Indian, Asian, Continental, Italian",4.3,1200.0,Koregaon Park,Pune
FOMO,Restaurant,"Continental, Fast Food, North Indian",4.2,1250.0,Hinjawadi,Pune
Carnival Restaurant and Bar,Restaurant,"North Indian, Chinese, Continental, Seafood, Salad",4.0,1800.0,Mundhwa,Pune
