restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
JamayCafe,Cafe,Cafe,2.8,600.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Jambudweepa Juice Bar,Beverage Shop,"Beverages, Healthy Food",3.8,150.0,Kalyan Nagar,Banaswadi,Bangalore
Jameela Hotel,Quick Bites,Biryani,3.3,200.0,Rajajinagar,Magadi Road,Bangalore
Janahaar,Quick Bites,South Indian,3.8,100.0,Banashankari,Banashankari,Bangalore
Janatha Cafe,Quick Bites,"South Indian, Kerala",3.2,400.0,Kalyan Nagar,Hennur,Bangalore
Japan Travel Cafe Azuki,Cafe,"Cafe, Japanese",4.3,400.0,Brigade Road,Residency Road,Bangalore
Jars,Delivery,"Healthy Food, Beverages",3.8,650.0,Brigade Road,Vasanth Nagar,Bangalore
Jashn,Casual Dining,North Indian,3.7,750.0,Bellandur,Marathahalli,Bangalore
Jashn - Le Meridien,Fine Dining,"North Indian, Mughlai",3.7,2000.0,Lavelle Road,Sankey Road,Bangalore
Jashn Hyderabadi Bawarchi,Casual Dining,"Hyderabadi, North Indian, Chinese, Biryani",2.9,650.0,Malleshwaram,New BEL Road,Bangalore
Java,Casual Dining,"North Indian, Chinese",3.7,700.0,Indiranagar,Old Airport Road,Bangalore
Java City,Cafe,"Cafe, American, Pizza",2.5,450.0,Jayanagar,Jayanagar,Bangalore
Jay Bhavani,Quick Bites,"North Indian, Street Food, Pizza",3.6,400.0,Rajajinagar,Vijay Nagar,Bangalore
Jay Bhavani Vadapav,Quick Bites,"Maharashtrian, Street Food",3.4,150.0,Rajajinagar,Seshadripuram,Bangalore
Jay Mataji Farsan and Sweets,Sweet Shop,"Mithai, Gujarati",3.5,150.0,Malleshwaram,Yeshwantpur,Bangalore
Jayanagar Grill House,Quick Bites,"Biryani, Kebab",3.5,250.0,Basavanagudi,Jayanagar,Bangalore
Jayanagara Donne Biryani,Quick Bites,"Biryani, South Indian",3.6,400.0,Basavanagudi,Jayanagar,Bangalore
Jayanthi Sagar,Quick Bites,"South Indian, North Indian, Chinese",3.1,200.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Jcubez,Lounge,Finger Food,3.8,1300.0,Banashankari,Banashankari,Bangalore
Jeet Punjabi Tadka,Quick Bites,"North Indian, South Indian",3.5,500.0,New BEL Road,New BEL Road,Bangalore
Jeff's - Royal Orchid Hotel,Bar,"Chinese, Continental",3.9,1800.0,Indiranagar,Old Airport Road,Bangalore
Jenisha Green View Restaurant,Quick Bites,"North Indian, Fast Food",2.8,500.0,Indiranagar,Ejipura,Bangalore
Jerry Mama's,Bakery,Bakery,3.6,250.0,Indiranagar,Indiranagar,Bangalore
Jethro's,Quick Bites,"Fast Food, Burger",3.7,450.0,JP Nagar,JP Nagar,Bangalore
Jetlag,"Bar, Casual Dining","Finger Food, Continental, North Indian, Italian, Japanese",4.3,1650.0,Malleshwaram,Rajajinagar,Bangalore
JFD Cafe,Cafe,Cafe,2.8,400.0,HSR,HSR,Bangalore
Jhanhavi Restaurant,Quick Bites,"North Indian, Chinese, South Indian, Biryani",3.1,400.0,Brookefield,Marathahalli,Bangalore
Jhasaa,"Takeaway, Delivery","Seafood, Salad, North Indian, Biryani, Chinese",3.2,500.0,Bannerghatta Road,BTM,Bangalore
Ji Hazoor,"Casual Dining, Bar","Mughlai, North Indian, Biryani, Afghan",4.0,1100.0,Brookefield,Whitefield,Bangalore
